index,sentence,sentence_clean,flesch,syllables,words,ave_syllables
15565,deval patrick joins the race this won be easy and it shouldn be ,deval patrick joins race easy,-6.79,33,14,2.357142857142857
17043, broke girls made kat dennings famous but she ready for her next act,broke girls made kat dennings famous ready next act,-6.79,33,14,2.357142857142857
18105,i toll lane contractors have been fined but it cost them much less ,toll lane contractors been fined cost much less,-6.79,33,14,2.357142857142857
18351,l times book club next read is barking to the choir by gregory boyle,l times book club next read barking choir gregory boyle,-6.79,33,14,2.357142857142857
18483,wendy is turning years old and is gifting us with free food through ,wendy turning years old is gifting us free food,-6.79,33,14,2.357142857142857
18858,the pick we ve got everything you need to know from the cma awards,the pick got everything you need know from cma awards,-6.79,33,14,2.357142857142857
18900,a few broncos players will be key to an upset win over the vikings,broncos players key an upset win vikings,-6.79,33,14,2.357142857142857
20156,which nfl teams would be fit for colin kaepernick ranking all from to ,nfl teams would fit colin kaepernick ranking,-6.79,33,14,2.357142857142857
20344,fox news poll biden has edge over dems in nevada bests trump by points,fox news poll biden edge over dems nevada bests trump points,-6.79,33,14,2.357142857142857
20494,metro has plan to sell and rename station names but will it work ,metro plan sell rename station names work,-6.79,33,14,2.357142857142857
21718,smartphone o app saves nyc teen from ambush by bicycle gang in hell kitchen,smartphone o app saves nyc teen ambush bicycle gang in hell kitchen,-6.79,33,14,2.357142857142857
22378,chiefs say blake bell was only option on late third down play vs titans,chiefs say blake bell was option late third play vs titans,-6.79,33,14,2.357142857142857
6610,how one family went from being in debt to saving the fun money really allows us spend on junk ,one family went debt to saving fun money really allows us spend junk,-8.04,46,20,2.3
249,no degree no problem these jobs will still pay you the big bucks,degree no problem jobs still pay big bucks,-8.1,31,13,2.3846153846153846
319,should you get the ford explorer pros and cons on this family suv,you get ford explorer pros cons family suv,-8.1,31,13,2.3846153846153846
420, reasons you might not want to book cruise on brand new ship,reasons might want book cruise brand new ship,-8.1,31,13,2.3846153846153846
641,kristen stewart just made leather bras thing and we re all for it,kristen stewart made leather bras thing we,-8.1,31,13,2.3846153846153846
834,ray dalio says the world has gone mad with so much free money,ray dalio says world gone mad much free money,-8.1,31,13,2.3846153846153846
3738,andy cohen says he lost pounds in months by simply cutting out booze,andy cohen says lost pounds months simply cutting out booze,-8.1,31,13,2.3846153846153846
3966,can nba superstar steph curry save the sport of golf callaway thinks so,nba superstar steph curry save sport golf callaway thinks,-8.1,31,13,2.3846153846153846
4305,how to watch mercury travel across the face of the sun on monday,watch mercury travel across face sun monday,-8.1,31,13,2.3846153846153846
5535,fans go bonkers after ravens run double qb option with jackson rg ,fans go bonkers ravens run double qb option jackson rg,-8.1,31,13,2.3846153846153846
5791,mercury is making rare transit across the sun here how to watch ,mercury making rare transit across sun here watch,-8.1,31,13,2.3846153846153846
5821, ve never had the desire to be president sen sherrod brown says,never desire to president sen sherrod brown says,-8.1,31,13,2.3846153846153846
6621, inches of snow is now forecast for the thumb for metro detroit,inches snow forecast thumb metro detroit,-8.1,31,13,2.3846153846153846
7330,cyclist fatally struck by dump truck that fled scene in east harlem police,cyclist fatally struck dump truck fled scene east harlem police,-8.1,31,13,2.3846153846153846
7500, it a game changer for veterans program helps local vets battling ptsd,it game changer veterans program helps local vets battling ptsd,-8.1,31,13,2.3846153846153846
8135,why you should cook turkey breast this year not the whole bird ,cook turkey breast year whole bird,-8.1,31,13,2.3846153846153846
8380,weather today will be mild but brace for cold snap and some snow,weather today mild brace cold snap snow,-8.1,31,13,2.3846153846153846
8960,al manager of the year how could it not be rays kevin cash,al manager year could rays kevin cash,-8.1,31,13,2.3846153846153846
9402,live watch the stars arrive on the red carpet for the cma awards,live watch stars arrive red carpet cma awards,-8.1,31,13,2.3846153846153846
10040,when employees get texts from the top at this company it good news,employees get texts top at company good news,-8.1,31,13,2.3846153846153846
10220,third halo reach pc flight is live lasts until at least november ,third halo reach pc flight live lasts until least november,-8.1,31,13,2.3846153846153846
10341,javonte green didn expect to play as much as he did vs mavericks,javonte green expect play much did vs mavericks,-8.1,31,13,2.3846153846153846
10405,let argue the chiefs will lose the afc west to the raiders ,let argue chiefs lose afc west raiders,-8.1,31,13,2.3846153846153846
10519,chris paul feels he got stabbed in the back with trade from rockets,chris paul feels got stabbed back trade rockets,-8.1,31,13,2.3846153846153846
10736,disney vs the competition which offers the best bang for your buck ,disney vs competition offers best bang buck,-8.1,31,13,2.3846153846153846
11138,some new england law boston students don want scott brown as next dean,new england law boston students want scott brown next dean,-8.1,31,13,2.3846153846153846
11320, want my home back veteran fights with insurance company from his lawn,want home back veteran fights insurance company lawn,-8.1,31,13,2.3846153846153846
11824,sportsnet finally fired don cherry but the real test is what happens next,sportsnet finally fired cherry real test happens next,-8.1,31,13,2.3846153846153846
12134,what are the bears odds of making the playoffs after week win ,bears odds making playoffs week win,-8.1,31,13,2.3846153846153846
12584,panthers bring back cb corn elder by signing him off giants practice squad,panthers bring back cb corn elder signing giants practice squad,-8.1,31,13,2.3846153846153846
12891,now back with patriots cody kessler is exactly where he wants to be,back patriots cody kessler exactly wants,-8.1,31,13,2.3846153846153846
13088,some new england law boston students don want scott brown as next dean,new england law boston students want scott brown next dean,-8.1,31,13,2.3846153846153846
13664,how many times can elton john say goodbye we ll find out soon,how many times elton john say goodbye find soon,-8.1,31,13,2.3846153846153846
13991,oil rises after opec barkindo says s shale growth may slow in ,oil rises opec barkindo says shale growth may slow,-8.1,31,13,2.3846153846153846
14047,in and frank monise sr was the racer no one wanted to face,frank monise sr racer one wanted face,-8.1,31,13,2.3846153846153846
14497,savings in the city the best deals on classes in jersey city today,savings city best deals classes jersey city today,-8.1,31,13,2.3846153846153846
15199,sorry protein bars but the banana is the mvp of pre workout snacks,sorry protein bars banana mvp of pre workout snacks,-8.1,31,13,2.3846153846153846
15426,where wild turkeys are so bold they knock on the door for food,wild turkeys so bold knock the door food,-8.1,31,13,2.3846153846153846
15911,when speak out against fat shaming m told to just lose weight ,speak fat shaming told to lose weight,-8.1,31,13,2.3846153846153846
15997,local deals for days the best things to do deals in denver today,local deals days best things deals denver today,-8.1,31,13,2.3846153846153846
16495,did you get an emergency alert wednesday this is what it for ,get emergency alert wednesday,-8.1,31,13,2.3846153846153846
16510,h girls soccer hull knocks off mashpee to earns div south title shot,h girls soccer hull knocks mashpee earns div south title shot,-8.1,31,13,2.3846153846153846
17439,it not just farmers s exports may never recover from the trade war,farmers exports may never recover trade war,-8.1,31,13,2.3846153846153846
18311,ford ferrari the forgotten car at the heart of the le mans clash,ford ferrari forgotten car heart le mans clash,-8.1,31,13,2.3846153846153846
18383,the most in demand freelance jobs right now and how to bag one,demand freelance jobs right bag one,-8.1,31,13,2.3846153846153846
19031,happy ending j mom who made medical history shows off her healthy baby,happy ending j mom made medical history shows healthy baby,-8.1,31,13,2.3846153846153846
19202,the linc eagles need carson wentz to come up big down the stretch,linc eagles need carson wentz come big stretch,-8.1,31,13,2.3846153846153846
19925,pensburgh podcast with crosby down how will the team fare moving forward ,pensburgh podcast crosby team fare moving forward,-8.1,31,13,2.3846153846153846
20032,i curve in nky where trucks keep crashing to get quick fix soon,curve nky trucks keep crashing get quick fix soon,-8.1,31,13,2.3846153846153846
20492,man shot on east march lane in stockton building car hit by bullets,man shot east march lane stockton building car hit bullets,-8.1,31,13,2.3846153846153846
21019, adults children hurt after van crashes into lynx bus stop in orlando,adults children hurt van crashes lynx bus stop orlando,-8.1,31,13,2.3846153846153846
21574,jenkins on kaepernick don know what else you want guy to do ,jenkins kaepernick know else want guy to,-8.1,31,13,2.3846153846153846
22252,suarez confirms he will not be back at stewart haas racing in ,suarez confirms be back stewart haas racing,-8.1,31,13,2.3846153846153846
22576,will pitino gophers finally get lift from the bench friday at utah ,pitino gophers finally get lift bench friday utah,-8.1,31,13,2.3846153846153846
22675,winners and losers after the steelers loss to the browns in week ,winners losers after steelers loss the browns week,-8.1,31,13,2.3846153846153846
3550,austin peay in top spot in ovc with win over ut martin gets closer to first fcs playoff berth,austin peay in top spot in ovc win ut martin gets closer first fcs playoff berth,-8.37,44,19,2.3157894736842106
7883,light the hoan gets million gift and thinks it can light the lakefront bridge in time for the dnc,light hoan gets million gift thinks light lakefront bridge time dnc,-8.37,44,19,2.3157894736842106
178,the news in cartoons,news cartoons,-8.72,10,4,2.5
2423,trailer the king man,trailer king man,-8.72,10,4,2.5
2466,a bit warmer sunday,bit warmer sunday,-8.72,10,4,2.5
2854,bengals news young guns,bengals news young guns,-8.72,10,4,2.5
3440,red cross helps veterans,red cross helps veterans,-8.72,10,4,2.5
3839,the best games ever,best games ever,-8.72,10,4,2.5
4215,best wi fi extenders,best wi fi extenders,-8.72,10,4,2.5
4685,nfl week late games,nfl week late games,-8.72,10,4,2.5
5775,cub tracks takes shape,cub tracks takes shape,-8.72,10,4,2.5
6405,nfl week early games,nfl week early games,-8.72,10,4,2.5
7284,ticked off petty gripes,ticked petty gripes,-8.72,10,4,2.5
8329,trailer don let go,trailer let go,-8.72,10,4,2.5
9122,view from the catwalks,view catwalks,-8.72,10,4,2.5
9554,h football top rankings,h football top rankings,-8.72,10,4,2.5
10514,truck stuck in sinkhole,truck stuck sinkhole,-8.72,10,4,2.5
10971,neil armstrong fast facts,neil armstrong fast facts,-8.72,10,4,2.5
11488,game hawks at nuggets,game hawks at nuggets,-8.72,10,4,2.5
12218,how to smoke turkey,smoke turkey,-8.72,10,4,2.5
12274, yamaha xsr preview,yamaha xsr preview,-8.72,10,4,2.5
13010,health calendar nov ,health calendar nov,-8.72,10,4,2.5
13760, yamaha xsr preview,yamaha xsr preview,-8.72,10,4,2.5
13966, ducati xdiavel s,ducati xdiavel s,-8.72,10,4,2.5
15051,cold and rainy thursday,cold rainy thursday,-8.72,10,4,2.5
16114,inspired by the classics,inspired the classics,-8.72,10,4,2.5
18762,jos abreu is back,jos abreu back,-8.72,10,4,2.5
22397,need scarf take scarf,need scarf take scarf,-8.72,10,4,2.5
22508,boxer meets new puppy,boxer meets new puppy,-8.72,10,4,2.5
11909,top kansas city news lights and more in store this month cops seek hit and run driver more,top kansas city news lights more store month cops seek hit run driver,-8.84,42,18,2.3333333333333335
14314, star tight end theo johnson delays his decision analyst says it hurts penn state the most ,star tight end theo johnson delays decision analyst says hurts penn state most,-8.84,42,18,2.3333333333333335
14416, star tight end theo johnson delays his decision analyst says it hurts penn state the most ,star tight end theo johnson delays decision analyst says hurts penn state,-8.84,42,18,2.3333333333333335
15146,don cherry tells tucker carlson on fox news he was fired for using the words you people ,cherry tells tucker carlson on fox news fired using words people,-8.84,42,18,2.3333333333333335
38,trask career day lifts no florida over vandy ,trask career day lifts florida vandy,-9.1,22,9,2.4444444444444446
315,nfl coach has theory about why trubisky is struggling,nfl coach theory trubisky struggling,-9.1,22,9,2.4444444444444446
367,hooker yards help va tech topple wake forest ,hooker yards help va tech topple wake forest,-9.1,22,9,2.4444444444444446
437,why the apple card could make you spend more,apple card could make spend,-9.1,22,9,2.4444444444444446
445,did meghan markle make change to her hair ,meghan markle make change hair,-9.1,22,9,2.4444444444444446
491,ap fact check trump foggy claims on climate policy,ap fact check trump foggy claims climate policy,-9.1,22,9,2.4444444444444446
520,oscar one hit wonders where are they now ,oscar one hit wonders,-9.1,22,9,2.4444444444444446
631,piracy crackdown may be next front in streaming wars,piracy crackdown may next front streaming wars,-9.1,22,9,2.4444444444444446
663,surge or static that was fun while it lasted,surge static fun lasted,-9.1,22,9,2.4444444444444446
739,your bond fund may be riskier than you think,bond fund may riskier you think,-9.1,22,9,2.4444444444444446
803,what closed what open on monday veteran day ,closed open monday veteran day,-9.1,22,9,2.4444444444444446
1040,jacksonville top diners that won break the bank ,jacksonville top diners break bank,-9.1,22,9,2.4444444444444446
1064, black friday deals you can start shopping today,black friday deals can start shopping today,-9.1,22,9,2.4444444444444446
1120,car catches fire at edmond bank atm drive thru,car catches fire at edmond bank atm drive thru,-9.1,22,9,2.4444444444444446
1155,medic responds to crash at harshman and route ,medic responds crash harshman and route,-9.1,22,9,2.4444444444444446
1160, great words that will make you sound smarter,great words will make sound smarter,-9.1,22,9,2.4444444444444446
1394,every country music song of the year since ,every country music song year since,-9.1,22,9,2.4444444444444446
1525,watch rolls royce shadow trek to the arctic circle,watch rolls royce shadow trek arctic circle,-9.1,22,9,2.4444444444444446
1718,three bars to try this weekend in los angeles,three bars try weekend los angeles,-9.1,22,9,2.4444444444444446
1925,why has this chevrolet camaro gone just miles ,chevrolet camaro gone miles,-9.1,22,9,2.4444444444444446
2068, jaguars who are winners at the bye week,jaguars winners bye week,-9.1,22,9,2.4444444444444446
2336,no kansas basketball top plays vs unc greensboro ,kansas basketball top plays vs unc greensboro,-9.1,22,9,2.4444444444444446
2377,the most stunning cma awards dresses of all time,stunning cma awards dresses time,-9.1,22,9,2.4444444444444446
2664, hidden ways your credit card is costing you,hidden ways credit card costing,-9.1,22,9,2.4444444444444446
2687,young makes crazy behind back pass hawks blow layup,young makes crazy behind back pass hawks blow layup,-9.1,22,9,2.4444444444444446
2978,anthony scores as no unc beats unc wilmington ,anthony scores unc beats unc wilmington,-9.1,22,9,2.4444444444444446
2985,target kicks off its black friday deals this week,target kicks black friday deals week,-9.1,22,9,2.4444444444444446
3040,why you should go to new orleans this winter,go new orleans winter,-9.1,22,9,2.4444444444444446
3111,smith cowan spark no maryland rally past rhode island,smith cowan spark maryland rally past rhode island,-9.1,22,9,2.4444444444444446
3127, thanksgiving quotes that bring on all the feels,thanksgiving quotes that bring feels,-9.1,22,9,2.4444444444444446
3238, things flight attendants wish you would stop doing,things flight attendants wish would stop,-9.1,22,9,2.4444444444444446
3320, big three hail future stars of men tennis,big three hail future stars men tennis,-9.1,22,9,2.4444444444444446
3335,how much you can change your abs in weeks,much change abs weeks,-9.1,22,9,2.4444444444444446
3390,ju football drops sixth game in row at drake,ju football drops sixth game row drake,-9.1,22,9,2.4444444444444446
3611, funny christmas gifts to make your friends giggle,funny christmas gifts make friends giggle,-9.1,22,9,2.4444444444444446
3679,tampa favorite bars that won break the bank ,tampa favorite bars won break bank,-9.1,22,9,2.4444444444444446
3905, moves that will make or save you money,moves that make save money,-9.1,22,9,2.4444444444444446
4066,here are the new income tax brackets for ,new income tax brackets for,-9.1,22,9,2.4444444444444446
4282, tips to avoid gift card scams during holidays,tips avoid gift card scams holidays,-9.1,22,9,2.4444444444444446
4308,rangers urge hikers to stay off muddy icy trails,rangers urge hikers stay muddy icy trails,-9.1,22,9,2.4444444444444446
4638, takeaways from the lions loss to the bears,takeaways lions loss bears,-9.1,22,9,2.4444444444444446
4921,arctic front whips in with freezing drizzle and snow,arctic front whips freezing drizzle snow,-9.1,22,9,2.4444444444444446
4952,century links josh gordon happy to be with seahawks,century links josh gordon happy with seahawks,-9.1,22,9,2.4444444444444446
5034,what you need to know houston vs no memphis,need to know houston vs no memphis,-9.1,22,9,2.4444444444444446
5159,wpi gets grant to enroll worcester students in stem,wpi gets grant enroll worcester students stem,-9.1,22,9,2.4444444444444446
5200,fun gag gifts for the scrooge in your life,fun gag gifts scrooge life,-9.1,22,9,2.4444444444444446
5243,still chance longshots insist race is up for grabs,still chance longshots insist race grabs,-9.1,22,9,2.4444444444444446
5498,mark scheifele scores in ot jets beat stars ,mark scheifele scores ot jets beat stars,-9.1,22,9,2.4444444444444446
5725,what happens in your body when you sneeze ,happens body sneeze,-9.1,22,9,2.4444444444444446
6088,us steel cuts nonunion jobs won say how many,us steel cuts nonunion jobs say how many,-9.1,22,9,2.4444444444444446
6121,predicting the winner of steelers vs rams week ,predicting winner steelers vs rams week,-9.1,22,9,2.4444444444444446
6385,sixers bell ringer game back in that win column,sixers bell ringer game back win column,-9.1,22,9,2.4444444444444446
6393,the buzzer capitals lead the nhl slim to nilsson,buzzer capitals lead nhl slim nilsson,-9.1,22,9,2.4444444444444446
6441,jerry jones hopes loss to vikings isn terminal ,jerry jones hopes loss vikings terminal,-9.1,22,9,2.4444444444444446
6619,minnesota fans get taste of back to back bliss,minnesota fans get taste back back bliss,-9.1,22,9,2.4444444444444446
6674,dan hampton calls bears win vs lions despicable ,dan hampton calls bears win vs lions despicable,-9.1,22,9,2.4444444444444446
6693,snow totals from overnight and what to expect next,snow totals overnight expect next,-9.1,22,9,2.4444444444444446
7136,here why netflix is ditching old roku devices drm,netflix ditching old roku devices drm,-9.1,22,9,2.4444444444444446
7510,raiders playoff talk not so fast jon gruden says,raiders playoff talk so fast jon gruden says,-9.1,22,9,2.4444444444444446
7600,tips from the test kitchen basic easy fruit crisp,tips from test kitchen basic easy fruit crisp,-9.1,22,9,2.4444444444444446
7792,palm beach county high school sports schedule nov ,palm beach county high school sports schedule nov,-9.1,22,9,2.4444444444444446
7935,hong kong protester shot by police set on fire,hong kong protester shot police set fire,-9.1,22,9,2.4444444444444446
7971,jimmy garoppolo ot loss can be reality check ,jimmy garoppolo ot loss be reality check,-9.1,22,9,2.4444444444444446
8314,how long will bankruptcy haunt your credit reports ,long bankruptcy haunt credit reports,-9.1,22,9,2.4444444444444446
8689,how to make smoky sloppy joe nachos by rachael,make smoky sloppy joe nachos rachael,-9.1,22,9,2.4444444444444446
8755,snow closures for jackson county on monday nov ,snow closures jackson county monday nov,-9.1,22,9,2.4444444444444446
9205,anyone up for an rko out of nowhere ,anyone an rko nowhere,-9.1,22,9,2.4444444444444446
9368,this new strain of hiv is actually good thing,new strain of hiv actually good thing,-9.1,22,9,2.4444444444444446
9833,do modern cooks still need joy of cooking ,modern cooks still need joy cooking,-9.1,22,9,2.4444444444444446
9968,momota defends fuzhou crown for th title of ,momota defends fuzhou crown th title,-9.1,22,9,2.4444444444444446
10173,protesters bring parts of hong kong to complete halt,protesters bring parts hong kong complete halt,-9.1,22,9,2.4444444444444446
10565,adam schiff ham sandwich not an inquiry just show,adam schiff ham sandwich inquiry show,-9.1,22,9,2.4444444444444446
10605,nfl pro bowl vote for your favorite ravens ,nfl pro bowl vote favorite ravens,-9.1,22,9,2.4444444444444446
10718,how much does it cost to become president ,much cost become president,-9.1,22,9,2.4444444444444446
10825, priceless finds that turned out to be worthless,priceless finds turned out worthless,-9.1,22,9,2.4444444444444446
11252,dec or dec nfl finally schedules bucs texans game,dec dec nfl finally schedules bucs texans game,-9.1,22,9,2.4444444444444446
11357,will trump impeachment hearings be must see tv ,trump impeachment hearings must see tv,-9.1,22,9,2.4444444444444446
11361,tampa bay gas prices drop cents over the week,tampa bay gas prices drop cents week,-9.1,22,9,2.4444444444444446
11899,how to choose piston rings and gap them correctly,choose piston rings gap correctly,-9.1,22,9,2.4444444444444446
12007,the single best way to stop eating too much,single best way stop eating much,-9.1,22,9,2.4444444444444446
12081,wesley chapel woman dies in fiery crash on ,wesley chapel woman dies fiery crash,-9.1,22,9,2.4444444444444446
12219, perfect puppies to adopt now in st louis,perfect puppies adopt st louis,-9.1,22,9,2.4444444444444446
12244,the mandalorian is flashy but flimsy star wars story,mandalorian flashy flimsy star wars story,-9.1,22,9,2.4444444444444446
12330,burn rubber in this hp gulf liveried ford mustang,burn rubber hp gulf liveried ford mustang,-9.1,22,9,2.4444444444444446
12509,ufc to counter cyborg bellator debut on jan ,ufc counter cyborg bellator debut jan,-9.1,22,9,2.4444444444444446
12562,steelers browns nfl week what you need to know,steelers browns nfl week need know,-9.1,22,9,2.4444444444444446
12950,nashville sc how to watch stream mls expansion draft,nashville sc how watch stream mls expansion draft,-9.1,22,9,2.4444444444444446
13532, racing movies that put stars behind the wheel,racing movies put stars behind wheel,-9.1,22,9,2.4444444444444446
13633,bbwaa corrects error in nl cy young vote totals,bbwaa corrects error in nl cy young vote totals,-9.1,22,9,2.4444444444444446
13934,horse saved by firefighters after wreck on patch pm,horse saved firefighters wreck patch pm,-9.1,22,9,2.4444444444444446
14256,astros verlander mets degrom win nd cy young awards,astros verlander mets degrom win nd cy young awards,-9.1,22,9,2.4444444444444446
14334,spacex cheap internet could cost us the night sky,spacex cheap internet could cost us night sky,-9.1,22,9,2.4444444444444446
14355,norfolk top bakeries that won break the bank ,norfolk top bakeries won break bank,-9.1,22,9,2.4444444444444446
14487,hp per liter the world most powerful car engines,hp per liter the world powerful car engines,-9.1,22,9,2.4444444444444446
14642, fabulous christmas presents that are less than ,fabulous christmas presents less,-9.1,22,9,2.4444444444444446
14730,boys swimming college commitments for the class of ,boys swimming college commitments class,-9.1,22,9,2.4444444444444446
14749,santos silva defense lead vcu past no lsu ,santos silva defense lead vcu past lsu,-9.1,22,9,2.4444444444444446
15161,holidays on the hill what you need to know,holidays the hill need know,-9.1,22,9,2.4444444444444446
15716,fight stops traffic on busy snowy highway in wisconsin,fight stops traffic busy snowy highway wisconsin,-9.1,22,9,2.4444444444444446
15855,bbwaa corrects error in nl cy young vote totals,bbwaa corrects error nl cy young vote totals,-9.1,22,9,2.4444444444444446
16017,craft show draws thousands for cobb county high school,craft show draws thousands cobb county high school,-9.1,22,9,2.4444444444444446
16457,elton john coming back to st louis next year,elton john coming back st louis next year,-9.1,22,9,2.4444444444444446
16522,kelly jackson signs new contract with on your side,kelly jackson signs new contract side,-9.1,22,9,2.4444444444444446
16933,qantas test flight from london to sydney breaks record,qantas test flight london sydney breaks record,-9.1,22,9,2.4444444444444446
16941,arctic cold in the record books now warming trend,arctic cold record books warming trend,-9.1,22,9,2.4444444444444446
17294,what happened to the donut bar in scottsdale ,happened donut bar scottsdale,-9.1,22,9,2.4444444444444446
17435,her father dying wish came true at area ,father dying wish came true area,-9.1,22,9,2.4444444444444446
17551,thielen will have chance to play in week ,thielen will chance play week,-9.1,22,9,2.4444444444444446
18353,the best holiday snacks we ve tried this year,the best holiday snacks ve tried year,-9.1,22,9,2.4444444444444446
18461,power lines end up on school bus in tolland,power lines end up school bus tolland,-9.1,22,9,2.4444444444444446
18549,jimmy carter after brain surgery up and walking ,jimmy carter brain surgery walking,-9.1,22,9,2.4444444444444446
18842, recipes that start with bag of chocolate chunks,recipes start bag chocolate chunks,-9.1,22,9,2.4444444444444446
19388, habits doctors use to avoid colds and flu,habits doctors use avoid colds flu,-9.1,22,9,2.4444444444444446
19580,forecast cloudy with chance of rain high of ,forecast cloudy chance rain high,-9.1,22,9,2.4444444444444446
19627,matt real training in austria with skn st lten,matt real training in austria skn st lten,-9.1,22,9,2.4444444444444446
19857,harlan knicks so irrelevant they don draw ripple ,harlan knicks irrelevant draw ripple,-9.1,22,9,2.4444444444444446
20082,bottas trusts secret plan to beat hamilton in ,bottas trusts secret plan beat hamilton,-9.1,22,9,2.4444444444444446
20138,new lane shifts coming to in providence patch pm,new lane shifts coming providence patch pm,-9.1,22,9,2.4444444444444446
20167,predicting the winner of steelers vs browns week ,predicting winner steelers vs browns week,-9.1,22,9,2.4444444444444446
20181,dow tops for first time capping week win streak,dow tops first time capping week win streak,-9.1,22,9,2.4444444444444446
20433, florida nursing homes make s news best ratings,florida nursing homes make s news best ratings,-9.1,22,9,2.4444444444444446
20612,climbing the pocket episode enter the system qb ,climbing pocket episode enter system qb,-9.1,22,9,2.4444444444444446
21193,lightning return home from sweden to thump rangers ,lightning return home sweden thump rangers,-9.1,22,9,2.4444444444444446
21276, schindler list producer branko lustig dies at ,schindler list producer branko lustig dies,-9.1,22,9,2.4444444444444446
21338,j penney loss smaller than expected shares soar ,j penney loss smaller expected shares soar,-9.1,22,9,2.4444444444444446
21430,baseball has got to show the game not rigged,baseball got show game rigged,-9.1,22,9,2.4444444444444446
21653,week nfl picks don overthink stress free vikings win,week nfl picks overthink stress free vikings win,-9.1,22,9,2.4444444444444446
21736,a tech company is paying for binge watching gig,tech company paying binge watching gig,-9.1,22,9,2.4444444444444446
21738,how to watch no maryland men basketball vs oakland,watch maryland men basketball vs oakland,-9.1,22,9,2.4444444444444446
21910, florida nursing homes make s news best ratings,florida nursing homes make news best ratings,-9.1,22,9,2.4444444444444446
22604,stay warm with this wearable heating pad for ,stay warm wearable heating pad,-9.1,22,9,2.4444444444444446
22755, florida nursing homes make s news best ratings,florida nursing homes make news best ratings,-9.1,22,9,2.4444444444444446
2780,murphy blamed as critics say dems blue wave skipped j on election day but did it ,murphy blamed critics say dems blue wave skipped j election day,-9.48,40,17,2.3529411764705883
3540,bud light is releasing its own hard seltzer and we can decide which flavor to try first,bud light releasing its hard seltzer decide flavor to try first,-9.48,40,17,2.3529411764705883
3554,all rock hill roads don lead to the panthers site here the plan for some that do,rock hill roads lead panthers site plan,-9.48,40,17,2.3529411764705883
8789,you decide who had the best week tcpalm com athlete of the week poll for nov ,decide the best week tcpalm com athlete the week poll nov,-9.48,40,17,2.3529411764705883
12215,for the first time the charlotte marathon is sold out it both good and bad thing ,the first time charlotte marathon sold good bad thing,-9.48,40,17,2.3529411764705883
14315,the clock club what options are there for skins with scherff flowers and free agency in ,clock club options skins scherff flowers free agency,-9.48,40,17,2.3529411764705883
16400, we don know what to do anymore mom says son unsolved murder has left her homeless,know anymore mom says son unsolved murder left homeless,-9.48,40,17,2.3529411764705883
17300,model didn know she was pregnant until she gave birth to full term baby in her bathroom,model know pregnant gave birth full term baby bathroom,-9.48,40,17,2.3529411764705883
19145, literally people are like are you matt damon and m like no no m not ,literally people like matt damon like m,-9.48,40,17,2.3529411764705883
21429,why is citrus one of the cs of arizona what led to its decline valley digs in,citrus one cs arizona led to decline valley digs,-9.48,40,17,2.3529411764705883
5,young trick or treater refills stranger empty candy bowl with his own,young trick treater refills stranger empty candy bowl,-9.79,29,12,2.4166666666666665
281,is it actually harder to lose weight when you re short ,actually harder lose weight re short,-9.79,29,12,2.4166666666666665
378,buy this sema star ford thunderbird and do your bit for charity,buy sema star ford thunderbird bit for charity,-9.79,29,12,2.4166666666666665
399, things we learned from the mavericks maddening loss to the knicks,things learned mavericks maddening loss knicks,-9.79,29,12,2.4166666666666665
472,high school football list of first round games with m start times,high school football list first round games start times,-9.79,29,12,2.4166666666666665
475, celebs over who are in the best shape of their lives,celebs best shape lives,-9.79,29,12,2.4166666666666665
964,why do people love to eat pizza the answer is chemistry ,people love to eat pizza answer is chemistry,-9.79,29,12,2.4166666666666665
1085,penn state baby gronk wants nothing more than to play for patriots,penn state baby gronk wants nothing more play patriots,-9.79,29,12,2.4166666666666665
1213, silent signs of lung cancer you need to be aware of,silent signs lung cancer need be aware,-9.79,29,12,2.4166666666666665
1443,this record breaking hp land speed car is coming up for sale,record breaking hp land speed car coming sale,-9.79,29,12,2.4166666666666665
1569, perfect holiday party dress ideas to copy through new year s,perfect holiday party dress ideas copy new year,-9.79,29,12,2.4166666666666665
1679,iraqi pm calls for protests to allow return to normal life ,iraqi pm calls protests allow return normal life,-9.79,29,12,2.4166666666666665
1702,see dolphins punt fish out of water to stun and eat them,see dolphins punt fish water stun eat,-9.79,29,12,2.4166666666666665
1768,nurse takes in man with autism so he can get new heart,nurse takes man autism get new heart,-9.79,29,12,2.4166666666666665
1876,ford baby bronco spy shots offer detailed look at the new suv,ford baby bronco spy shots offer detailed look new suv,-9.79,29,12,2.4166666666666665
2066,kansas state return td further proof every skycam angle ends in td,kansas state return td proof every skycam angle ends td,-9.79,29,12,2.4166666666666665
2492,we tried krispy kreme new pie donuts this was the best one,tried krispy kreme new pie donuts was best one,-9.79,29,12,2.4166666666666665
2773,mcdonald is going to add chicken to its breakfast menu in ,mcdonald going add chicken its breakfast menu,-9.79,29,12,2.4166666666666665
3471, women share what it really like to work on cruise ship,women share it really like work cruise ship,-9.79,29,12,2.4166666666666665
3473,spain goes to the polls with far right tipped to make gains,spain goes polls with far right tipped to make gains,-9.79,29,12,2.4166666666666665
3691, the right stuff blasts off for veterans day screening in hollywood,right stuff blasts veterans day screening hollywood,-9.79,29,12,2.4166666666666665
3763,watch gordon ramsay take dozen of his hottest cars to the track,watch gordon ramsay take dozen hottest cars track,-9.79,29,12,2.4166666666666665
