text,flesch,words,syllables,label
 honestly woman you call yourself our mother ,-52.04,5,15,0
can you tell m george sorry george dear only joking am fred said the boy and off he went ,-31.73,10,27,0
his twin called after him to hurry up and he must have done so because second later he had gone but how had he done it ,-19.68,11,28,0
now the third brother was walking briskly toward the barrier he was almost there and then quite suddenly he wasn anywhere ,-43.05,14,39,0
there was nothing else for it ,-50.01,3,9,0
 excuse me harry said to the plump woman ,-24.85,6,16,0
 hello dear she said ,-50.01,3,9,0
 first time at hogwarts ,-21.81,3,8,0
ron new too she pointed at the last and youngest of her sons ,-17.81,7,18,0
he was tall thin and gangling with freckles big hands and feet and long nose ,-6.35,10,24,0
 yes said harry ,6.39,3,7,0
 the thing is the thing is don know how to how to get onto the platform she said kindly and harry nodded ,-0.75,14,32,0
 not to worry she said ,6.39,3,7,0
 all you have to do is walk straight at the barrier between platforms nine and ten ,-29.9,7,19,0
don stop and don be scared you ll crash into it that very important ,-2.21,8,19,0
best do it at bit of run if you re nervous ,3.34,6,14,0
go on go now before ron er okay said harry ,-9.1,9,22,0
he pushed his trolley around and stared at the barrier ,-85.88,5,17,0
it looked very solid ,-50.01,3,9,0
he started to walk toward it ,-8.72,4,10,0
people jostled him on their way to platforms nine and ten ,-23.36,8,21,0
harry walked more quickly ,-21.81,3,8,0
he was going to smash right into that barrier and then he be in trouble leaning forward on his cart he broke into heavy run the barrier was coming nearer and nearer he wouldn be able to stop the cart was out of control he was foot away he closed his eyes ready for the crash it didn come he kept on running he opened his eyes ,-67.44,42,115,0
a scarlet steam engine was waiting next to platform packed with people ,-76.23,8,26,0
a sign overhead said hogwarts express eleven clock ,-66.16,7,22,0
harry looked behind him and saw wrought iron archway where the barrier had been with the words platform nine and three quarters on it ,-41.73,18,49,0
he had done it ,-6.69,2,5,0
smoke from the engine drifted over the heads of the chattering crowd while cats of every color wound here and there between their legs ,-55.13,14,41,0
owls hooted to one another in disgruntled sort of way over the babble and the scraping of heavy trunks ,-43.05,14,39,0
the first few carriages were already packed with students some hanging out of the window to talk to their families some fighting over seats ,-63.2,16,48,0
harry pushed his cart off down the platform in search of an empty seat ,-12.78,8,20,0
he passed round faced boy who was saying gran ve lost my toad again oh neville he heard the old woman sigh ,-24.41,17,43,0
a boy with dreadlocks was surrounded by small crowd ,-17.81,7,18,0
 give us look lee go on the boy lifted the lid of box in his arms and the people around him shrieked and yelled as something inside poked out long hairy leg ,-52.17,21,59,0
harry pressed on through the crowd until he found an empty compartment near the end of the train ,-23.27,10,26,0
he put hedwig inside first and then started to shove and heave his trunk toward the train door ,-37.0,14,38,0
he tried to lift it up the steps but could hardly raise one end and twice he dropped it painfully on his foot ,-45.04,12,34,0
 want hand it was one of the red haired twins he followed through the barrier ,-37.3,9,25,0
 yes please harry panted ,-29.87,4,11,0
 oy fred ,35.61,2,4,0
c mere and help with the twins help harry trunk was at last tucked away in corner of the compartment ,-5.79,15,35,0
 thanks said harry pushing his sweaty hair out of his eyes ,-33.93,8,22,0
 what that said one of the twins suddenly pointing at harry lightning scar ,-27.9,9,24,0
 blimey said the other twin ,-21.81,3,8,0
 are you he is said the first twin ,3.34,6,14,0
 aren you he added to harry ,-8.72,4,10,0
 what said harry ,-6.69,2,5,0
 harry potter chorused the twins ,-29.87,4,11,0
 oh him said harry ,12.43,4,9,0
 mean yes am the two boys gawked at him and harry felt himself turning red ,3.4,11,25,0
then to his relief voice came floating in through the train open door ,-90.33,7,24,0
 fred ,36.62,1,2,0
george ,-132.58,1,4,0
are you there coming mom with last look at harry the twins hopped off the train ,-14.81,10,25,0
harry sat down next to the window where half hidden he could watch the red haired family on the platform and hear what they were saying ,-30.96,14,37,0
their mother had just taken out her handkerchief ,-93.32,4,14,0
 ron you ve got something on your nose the youngest boy tried to jerk out of the way but she grabbed him and began rubbing the end of his nose ,-29.19,20,51,0
 mom geroff he wriggled free ,-29.87,4,11,0
 aaah has ickle ronnie got somefink on his nosie said one of the twins ,-65.57,10,31,0
 shut up said ron ,6.39,3,7,0
 where percy said their mother ,-29.87,4,11,0
 he coming now the oldest boy came striding into sight ,-12.78,8,20,0
he had already changed into his billowing black hogwarts robes and harry noticed shiny red and gold badge on his chest with the letter on it ,-32.33,18,47,0
 can stay long mother he said ,-8.72,4,10,0
 m up front the prefects have got two compartments to themselves oh are you prefect percy said one of the twins with an air of great surprise ,-37.65,20,53,0
 you should have said something we had no idea hang on think remember him saying something about it said the other twin ,-66.67,13,40,0
 once or twice minute all summer oh shut up said percy the prefect ,-33.93,8,22,0
 how come percy gets new robes anyway said one of the twins ,-14.81,10,25,0
 because he a prefect said their mother fondly ,-24.85,6,16,0
 all right dear well have good term send me an owl when you get there she kissed percy on the cheek and he left ,-8.1,13,31,0
then she turned to the twins ,6.39,3,7,0
 now you two this year you behave yourselves ,-67.15,6,19,0
if get one more owl telling me you ve you ve blown up toilet or blown up toilet ,-27.37,11,29,0
we ve never blown up toilet great idea though thanks mom it not funny ,-23.9,12,31,0
and look after ron don worry ickle ronniekins is safe with us shut up said ron again ,-37.99,12,33,0
he was almost as tall as the twins already and his nose was still pink where his mother had rubbed it ,-14.61,13,32,0
 hey mom guess what ,6.39,3,7,0
guess who we just met on the train harry leaned back quickly so they couldn see him looking ,-42.75,11,31,0
 you know that black haired boy who was near us in the station ,-29.9,7,19,0
know who he is who harry potted harry heard the little girl voice ,-14.81,10,25,0
 oh mom can go on the train and see him mom oh please ,-12.78,8,20,0
 you ve already seen him ginny and the poor boy isn something you goggle at in zoo ,-35.06,11,30,0
is he really fred ,6.39,3,7,0
how do you know asked him ,-21.81,3,8,0
saw his scar ,35.61,2,4,0
it really there like lightning poor dear no wonder he was alone wondered ,-57.11,10,30,0
he was ever so polite when he asked how to get onto the platform never mind that do you think he remembers what you know who looks like their mother suddenly became very stern ,-40.88,23,61,0
 forbid you to ask him fred ,-1.28,5,12,0
no don you dare ,-21.81,3,8,0
as though he needs reminding of that on his first day at school all right keep your hair on whistle sounded ,-33.99,15,40,0
 hurry up their mother said and the three boys clambered onto the train ,-35.06,11,30,0
they leaned out of the window for her to kiss them good bye and their younger sister began to cry ,-23.9,12,31,0
 don ginny we ll send you loads of owls well send you hogwarts toilet seat georg only joking mom the train began to move ,-29.38,17,44,0
harry saw the boys mother waving and their sister half laughing half crying running to keep up with the train until it gathered too much speed then she fell back and waved ,-32.55,24,61,0
harry watched the girl and her mother disappear as the train rounded the corner ,-56.1,9,27,0
houses flashed past the window ,-51.02,4,12,0
harry felt great leap of excitement ,-52.04,5,15,0
he didn know what he was going to but it had to be better than what he was leaving behind ,-29.9,7,19,0
the door of the compartment slid open and the youngest redheaded boy came in ,-50.44,11,32,0
 anyone sitting there he asked pointing at the seat opposite harry ,-90.33,7,24,0
 everywhere else is full harry shook his head and the boy sat down ,-33.93,8,22,0
he glanced at harry and then looked quickly out of the window pretending he hadn looked ,-56.1,9,27,0
harry saw he still had black mark on his nose ,18.94,8,17,0
 hey ron the twins were back ,32.56,5,10,0
 listen we re going down the middle of the train lee jordan got giant tarantula down there right mumbled ron ,-52.09,12,35,0
 harry said the other twin did we introduce ourselves ,-67.15,6,19,0
fred and george weasley ,-78.21,3,10,0
and this is ron our brother ,-6.69,2,5,0
see you later then bye said harry and ron ,-17.81,7,18,0
the twins slid the compartment door shut behind them ,-17.81,7,18,0
 are you really harry potter ron blurted out ,-24.85,6,16,0
harry nodded ,-6.69,2,5,0
 oh well thought it might be one of fred and george jokes said ron ,-23.27,10,26,0
 and have you really got you know he pointed at harry forehead ,-41.98,7,20,0
harry pulled back his bangs to show the lightning scar ,8.37,8,18,0
ron stared ,-6.69,2,5,0
 so that where you know who yes said harry but can remember it nothing said ron eagerly ,-40.19,10,28,0
 well remember lot of green light but nothing else wow said ron ,-19.68,11,28,0
he sat and stared at harry for few moments then as though he had suddenly realized what he was doing he looked quickly out of the window again ,-43.05,14,39,0
 are all your family wizards asked harry who found ron just as interesting as ron found him ,-35.06,11,30,0
 er yes think so said ron ,15.64,5,11,0
 think mom got second cousin who an accountant but we never talk about him so you must know loads of magic already the weasleys were clearly one of those old wizarding families the pale boy in diagon alley had talked about ,-71.24,27,80,0
 heard you went to live with muggles said ron ,-24.85,6,16,0
 what are they like horrible well not all of them ,-35.12,5,14,0
my aunt and uncle and cousin are though ,-35.12,5,14,0
wish d had three wizard brothers five said ron ,-29.9,7,19,0
for some reason he was looking gloomy ,-52.04,5,15,0
 m the sixth in our family to go to hogwarts ,-1.28,5,12,0
you could say ve got lot to live up to ,-1.28,5,12,0
bill and charlie have already left bill was head boy and charlie was captain of quidditch ,-58.13,11,33,0
now percy a prefect ,6.39,3,7,0
fred and george mess around lot but they still get really good marks and everyone thinks they re really funny ,-31.48,16,42,0
everyone expects me to do as well as the others but if do it no big deal because they did it first ,-16.84,12,30,0
you never get anything new either with five brothers ,-41.98,7,20,0
i ve got bill old robes charlie old wand and percy old rat ron reached inside his jacket and pulled out fat gray rat which was asleep ,-27.0,22,55,0
 his name scabbers and he useless he hardly ever wakes up ,-53.05,6,18,0
percy got an owl from my dad for being made prefect but they couldn aff mean got scabbers instead ron ears went pink ,-17.27,19,46,0
he seemed to think he said too much because he went back to staring out of the window ,-42.75,11,31,0
harry didn think there was anything wrong with not being able to afford an owl ,-9.1,9,22,0
after all he never had any money in his life until month ago and he told ron so all about having to wear dudley old clothes and never getting proper birthday presents ,-39.34,17,46,0
this seemed to cheer ron up ,-50.01,3,9,0
 and until hagrid told me didn know anything about being wizard or about my parents or voldemort ron gasped ,-31.73,10,27,0
 what said harry ,6.39,3,7,0
 you said you know who name said ron sounding both shocked and impressed ,-46.7,9,26,0
 d have thought you of all people m not trying to be brave or anything saying the name said harry just never knew you shouldn ,-45.04,12,34,0
see what mean ,-48.99,2,6,0
i ve got loads to learn ,-8.72,4,10,0
 ,121.22,1,1,0
i bet he added voicing for the first time something that had been worrying him lot lately bet m the worst in the class you won be ,-26.19,16,41,0
there loads of people who come from muggle families and they learn quick enough while they had been talking the train had carried them out of london ,-74.17,17,53,0
now they were speeding past fields full of cows and sheep ,-17.81,7,18,0
they were quiet for time watching the fields and lanes flick past ,-27.9,9,24,0
around half past twelve there was great clattering outside in the corridor and smiling dimpled woman slid back their door and said anything off the cart dears harry who hadn had any breakfast leapt to his feet but ron ears went pink again and he muttered that he brought sandwiches ,-70.4,35,100,0
harry went out into the corridor ,-21.81,3,8,0
he had never had any money for candy with the dursleys and now that he had pockets rattling with gold and silver he was ready to buy as many mars bars as he could carry but the woman didn have mars bars ,-21.29,26,62,0
what she did have were bertie bott every flavor beans drooble best blowing gum chocolate frogs pumpkin pasties cauldron cakes licorice wands and number of other strange things harry had never seen in his life ,-69.34,28,82,0
not wanting to miss anything he got some of everything and paid the woman eleven silver sickles and seven bronze knuts ,-50.91,15,43,0
ron stared as harry brought it all back in to the compartment and tipped it onto an empty seat ,-23.9,12,31,0
 hungry are you starving said harry taking large bite out of pumpkin pasty ,-31.73,10,27,0
ron had taken out lumpy package and unwrapped it ,-41.98,7,20,0
there were four sandwiches inside ,-93.32,4,14,0
he pulled one of them apart and said she always forgets don like corned beef swap you for one of these said harry holding up pasty ,-39.34,17,46,0
 go on you don want this it all dry said ron ,17.45,6,13,0
 she hasn got much time he added quickly you know with five of us go on have pasty said harry who had never had anything to share before or indeed anyone to share it with ,-38.5,25,65,0
it was nice feeling sitting there with ron eating their way through all harry pasties cakes and candies the sandwiches lay forgotten ,-57.92,16,47,0
 what are these harry asked ron holding up pack of chocolate frogs ,-23.36,8,21,0
 they re not really frogs are they he was starting to feel that nothing would surprise him ,-44.51,8,23,0
 no said ron ,-6.69,2,5,0
 but see what the card is ,6.39,3,7,0
i missing agrippa what oh of course you wouldn know chocolate frogs have cards inside them you know to collect famous witches and wizards ,-64.22,17,51,0
i ve got about five hundred but haven got agrippa or ptolemy harry unwrapped his chocolate frog and picked up the card ,-56.55,15,44,0
it showed man face ,-21.81,3,8,0
he wore half moon glasses had long crooked nose and flowing silver hair beard and mustache ,-59.14,12,36,0
underneath the picture was the name albus dumbledore ,-90.33,7,24,0
 so this is dumbledore said harry ,-51.02,4,12,0
 don tell me you never heard of dumbledore said ron ,-54.07,7,21,0
 can have frog ,36.62,1,2,0
i might get agrippa thanks harry turned over his card and read albus dumbledore currently headmaster of hogwarts considered by many the greatest wizard of modern times dumbledore is particularly famous for his defeat of the dark wizard grindelwald in for the discovery of the twelve uses of dragon blood and his work on alchemy with his partner nicolas flamel ,-95.64,42,129,0
professor dumbledore enjoys chamber music and ten pin bowling ,-65.66,8,25,0
harry turned the card back over and saw to his astonishment that dumbledore face had disappeared ,-82.49,10,33,0
 he gone well you can expect him to hang around all day said ron ,-18.5,9,23,0
 he ll be back ,36.62,1,2,0
no ve got morgana again and ve got about six of her do you want it ,9.7,9,20,0
you can start collecting ron eyes strayed to the pile of chocolate frogs waiting to be unwrapped ,-65.82,11,34,0
 help yourself said harry ,6.39,3,7,0
 but in you know the muggle world people just stay put in photos do they ,-17.81,7,18,0
what they don move at all ron sounded amazed ,-29.9,7,19,0
 weird harry stared as dumbledore sidled back into the picture on his card and gave him small smile ,-52.09,12,35,0
ron was more interested in eating the frogs than looking at the famous witches and wizards cards but harry couldn keep his eyes off them ,-66.2,12,37,0
soon he had not only dumbledore and morgana but hengist of woodcraft alberic grunnion circe paracelsus and merlin ,-92.7,13,44,0
he finally tore his eyes away from the druidess cliodna who was scratching her nose to open bag of bertie bott every flavor beans ,-63.2,16,48,0
 you want to be careful with those ron warned harry ,-18.2,5,13,0
 when they say every flavor they mean every flavor you know you get all the ordinary ones like chocolate and peppermint and marmalade but then you can get spinach and liver and tripe ,-64.25,21,62,0
george reckons he had booger flavored one once ron picked up green bean looked at it carefully and bit into corner ,-73.47,15,47,0
 bleaaargh see ,-133.59,2,8,0
sprouts they had good time eating the every flavor beans ,-66.16,7,22,0
harry got toast coconut baked bean strawberry curry grass coffee sardine and was even brave enough to nibble the end off funny gray one ron wouldn touch which turned out to be pepper ,-48.19,28,75,0
the countryside now flying past the window was becoming wilder ,-54.07,7,21,0
the neat fields had gone ,-29.87,4,11,0
now there were woods twisting rivers and dark green hills ,-17.81,7,18,0
there was knock on the door of their compartment and the round faced boy harry had passed on platform nine and three quarters came in ,-46.43,18,50,0
he looked tearful ,-133.59,2,8,0
 sorry he said but have you seen toad at all when they shook their heads he wailed ve lost him ,-27.62,13,34,0
he keeps getting away from me hell turn up said harry ,-12.78,8,20,0
 yes said the boy miserably ,-29.87,4,11,0
 well if you see him he left ,17.45,6,13,0
 don know why he so bothered said ron ,-29.87,4,11,0
 if d brought toad d lose it as quick as could ,-29.9,7,19,0
mind you brought scabbers so can talk the rat was still snoozing on ron lap ,-2.75,12,28,0
 he might have died and you wouldn know the difference said ron in disgust ,-27.9,9,24,0
 tried to turn him yellow yesterday to make him more interesting but the spell didn work ,-42.75,11,31,0
i ll show you look he rummaged around in his trunk and pulled out very battered looking wand ,-42.75,11,31,0
it was chipped in places and something white was glinting at the end ,-27.9,9,24,0
 unicorn hair nearly poking out ,-72.17,4,13,0
anyway he had just raised his wand when the compartment door slid open again ,-44.51,8,23,0
the toadless boy was back but this time he had girl with him ,-5.73,7,17,0
she was already wearing her new hogwarts robes ,-41.98,7,20,0
 has anyone seen toad ,-78.21,3,10,0
neville lost one she said ,-51.02,4,12,0
she had bossy sort of voice lots of bushy brown hair and rather large front teeth ,-14.61,13,32,0
 we ve already told him we haven seen it said ron but the girl wasn listening she was looking at the wand in his hand ,-27.62,13,34,0
 oh are you doing magic ,-29.87,4,11,0
let see it then she sat down ,12.43,4,9,0
ron looked taken aback ,-51.02,4,12,0
 er all right he cleared his throat ,-18.2,5,13,0
 sunshine daisies butter mellow turn this stupid fat rat yellow he waved his wand but nothing happened ,-60.16,13,39,0
scabbers stayed gray and fast asleep ,-35.12,5,14,0
 are you sure that a real spell said the girl ,-18.2,5,13,0
 well it not very good is it ,12.43,4,9,0
i ve tried few simple spells just for practice and it all worked for me ,-29.9,7,19,0
nobody in my family magic at all it was ever such surprise when got my letter but was ever so pleased of course mean it the very best school of witchcraft there is ve heard ve learned all our course books by heart of course just hope it will be enough m hermione granger by the way who are you she said all this very fast ,-72.76,40,113,0
harry looked at ron and was relieved to see by his stunned face that he hadn learned all the course books by heart either ,-62.19,15,45,0
 m ron weasley ron muttered ,-51.02,4,12,0
 harry potter said harry ,-8.72,4,10,0
 are you really said hermione ,-93.32,4,14,0
 know all about you of course got few extra books for background reading and you re in modern magical history and the rise and fall of the dark arts and great wizarding events of the twentieth century am said harry feeling dazed ,-70.1,26,77,0
 goodness didn you know d have found out everything could if it was me said hermione ,-65.5,9,28,0
 do either of you know what house you ll be in ,-24.85,6,16,0
i ve been asking around and hope m in gryffindor it sounds by far the best hear dumbledore himself was in it but suppose ravenclaw wouldn be too bad ,-56.55,15,44,0
 ,121.22,1,1,0
anyway we better go and look for neville toad ,-27.9,9,24,0
you two had better change you know expect we ll be there soon and she left taking the toadless boy with her ,-22.71,15,38,0
 whatever house m in hope she not in it said ron ,-27.9,9,24,0
he threw his wand back into his trunk ,33.58,4,8,0
 stupid spell george gave it to me bet he knew it was dud what house are your brothers in asked harry ,-30.94,12,32,0
 gryffindor said ron ,-21.81,3,8,0
gloom seemed to be settling on him again ,-53.05,6,18,0
 mom and dad were in it too ,35.61,2,4,0
i don know what they ll say if m not ,34.59,3,6,0
i don suppose ravenclaw would be too bad but imagine if they put me in slytherin that the house vol mean you know who was in yeah said ron ,-48.44,19,53,0
he flopped back into his seat looking depressed ,-68.96,5,16,0
 you know think the ends of scabbers whiskers are bit lighter said harry trying to take ron mind off houses ,-17.07,15,37,0
 so what do your oldest brothers do now that they ve left anyway harry was wondering what wizard did once he finished school ,-34.13,13,35,0
 charlie in romania studying dragons and bill in africa doing something for gringotts said ron ,-73.51,11,35,0
 did you hear about gringotts ,-78.21,3,10,0
it been all over the daily prophet but don suppose you get that with the muggles someone tried to rob high security vault harry stared ,-55.13,14,41,0
 really ,-47.98,1,3,0
what happened to them nothing that why it such big news ,-10.75,6,15,0
they haven been caught ,-21.81,3,8,0
my dad says it must ve been powerful dark wizard to get round gringotts but they don think they took anything that what odd ,-15.62,16,39,0
 course everyone gets scared when something like this happens in case you know who behind it harry turned this news over in his mind ,-47.34,16,45,0
he was starting to get prickle of fear every time you know who was mentioned ,-42.75,11,31,0
he supposed this was all part of entering the magical world but it had been lot more comfortable saying voldemort without worrying ,-88.89,11,37,0
 what your quidditch team ron asked ,-51.02,4,12,0
 er don know any harry confessed ,-8.72,4,10,0
 what ron looked dumbfounded ,-106.41,3,11,0
 oh you wait it the best game in the world and he was off explaining all about the four balls and the positions of the seven players describing famous games he been to with his brothers and the broomstick he like to get if he had the money ,-58.8,25,71,0
he was just taking harry through the finer points of the game when the compartment door slid open yet again but it wasn neville the toadless boy or hermione granger this time ,-54.57,20,57,0
three boys entered and harry recognized the middle one at once it was the pale boy from madam malkin robe shop ,-45.27,15,42,0
he was looking at harry with lot more interest than he shown back in diagon alley ,-37.3,9,25,0
 is it true he said ,-48.99,2,6,0
 they re saying all down the train that harry potter in this compartment ,-23.36,8,21,0
so it you is it yes said harry ,15.64,5,11,0
he was looking at the other boys ,-18.2,5,13,0
both of them were thickset and looked extremely mean ,-67.15,6,19,0
standing on either side of the pale boy they looked like bodyguards ,-76.23,8,26,0
 oh this is crabbe and this is goyle said the pale boy carelessly noticing where harry was looking ,-50.44,11,32,0
 and my names malfoy draco malfoy ron gave slight cough which might have been hiding snigger ,-35.06,11,30,0
draco malfoy looked at him ,-78.21,3,10,0
 think my name funny do you ,12.43,4,9,0
no need to ask who you are ,6.39,3,7,0
my father told me all the weasleys have red hair freckles and more children than they can afford he turned back to harry ,-24.92,14,36,0
 you ll soon find out some wizarding families are much better than others potter ,-65.57,10,31,0
you don want to go making friends with the wrong sort ,8.37,8,18,0
i can help you there he held out his hand to shake harry but harry didn take it ,0.3,9,21,0
 think can tell who the wrong sort are for myself thanks he said coolly ,10.56,10,22,0
draco malfoy didn go red but pink tinge appeared in his pale cheeks ,-46.7,9,26,0
 d be careful if were you potter he said slowly ,-38.95,6,17,0
 unless you re bit politer you ll go the same way as your parents ,-24.85,6,16,0
they didn know what was good for them either ,-18.2,5,13,0
you hang around with riffraff like the weasleys and that hagrid and it ll rub off on you both harry and ron stood up ,-24.92,14,36,0
 say that again ron said his face as red as his hair ,-5.73,7,17,0
 oh you re going to fight us are you malfoy sneered ,-12.78,8,20,0
 unless you get out now said harry more bravely than he felt because crabbe and goyle were lot bigger than him or ron ,-23.9,12,31,0
 but we don feel like leaving do we boys ,-24.85,6,16,0
we ve eaten all our food and you still seem to have some goyle reached toward the chocolate frogs next to ron ron leapt forward but before he so much as touched goyle goyle let out horrible yell ,-60.75,24,69,0
scabbers the rat was hanging off his finger sharp little teeth sunk deep into goyle knuckle crabbe and malfoy backed away as goyle swung scabbers round and round howling and when scabbers finally flew off and hit the window all three of them disappeared at once ,-63.31,30,85,0
perhaps they thought there were more rats lurking among the sweets or perhaps they heard footsteps because second later hermione granger had come in ,-75.16,19,59,0
 what has been going on she said looking at the sweets all over the floor and ron picking up scabbers by his tail ,-48.65,10,29,0
 think he been knocked out ron said to harry ,-1.28,5,12,0
he looked closer at scabbers ,-78.21,3,10,0
 no don believe it he gone back to sleep and so he had ,-29.9,7,19,0
 you ve met malfoy before harry explained about their meeting in diagon alley ,-65.66,8,25,0
 ve heard of his family said ron darkly ,-10.75,6,15,0
 they were some of the first to come back to our side after you know who disappeared ,-44.51,8,23,0
said they been bewitched ,-50.01,3,9,0
my dad doesn believe it ,-78.21,3,10,0
he says malfoy father didn need an excuse to go over to the dark side he turned to hermione ,-40.64,13,36,0
 can we help you with something you better hurry up and put your robes on ve just been up to the front to ask the conductor and he says we re nearly there ,-14.46,17,41,0
you haven been fighting have you ,-48.99,2,6,0
you ll be in trouble before we even get there scabbers has been fighting not us said ron scowling at her ,-30.96,14,37,0
 would you mind leaving while we change all right only came in here because people outside are behaving very childishly racing up and down the corridors said hermione in sniffy voice ,-79.95,20,63,0
 and you ve got dirt on your nose by the way did you know ron glared at her as she left ,3.4,11,25,0
harry peered out of the window ,-50.01,3,9,0
it was getting dark ,6.39,3,7,0
he could see mountains and forests under deep purple sky ,-54.07,7,21,0
the train did seem to be slowing down ,-29.87,4,11,0
he and ron took off their jackets and pulled on their long black robes ,-9.1,9,22,0
ron were bit short for him you could see his sneakers underneath them ,-44.51,8,23,0
a voice echoed through the train we will be reaching hogwarts in five minutes time ,-84.3,9,30,0
please leave your luggage on the train it will be taken to the school separately harry stomach lurched with nerves and ron he saw looked pale under his freckles ,-60.22,21,61,0
they crammed their pockets with the last of the sweets and joined the crowd thronging the corridor ,-40.19,10,28,0
the train slowed right down and finally stopped ,-24.85,6,16,0
people pushed their way toward the door and out on to tiny dark platform ,-37.3,9,25,0
harry shivered in the cold night air ,-18.2,5,13,0
then lamp came bobbing over the heads of the students and harry heard familiar voice firs years ,-53.65,13,38,0
firs years over here ,-6.69,2,5,0
all right there harry hagrid big hairy face beamed over the sea of heads ,-31.73,10,27,0
 mon follow me any more firs years ,-10.75,6,15,0
mind yer step now ,33.58,4,8,0
firs years follow me slipping and stumbling they followed hagrid down what seemed to be steep narrow path ,-58.13,11,33,0
it was so dark on either side of them that harry thought there must be thick trees there ,-12.83,14,34,0
nobody spoke much ,-21.81,3,8,0
neville the boy who kept losing his toad sniffed once or twice ,-27.9,9,24,0
 yeh ll get yer firs sight hogwarts in sec hagrid called over his shoulder jus round this bend here there was loud oooooh the narrow path had opened suddenly onto the edge of great black lake ,-50.58,26,71,0
perched atop high mountain on the other side its windows sparkling in the starry sky was vast castle with many turrets and towers ,-33.99,15,40,0
 no more four to boat hagrid called pointing to fleet of little boats sitting in the water by the shore ,-47.14,13,37,0
harry and ron were followed into their boat by neville and hermione ,-81.25,6,20,0
 everyone in shouted hagrid who had boat to himself ,-67.15,6,19,0
 right then forward and the fleet of little boats moved off all at once gliding across the lake which was as smooth as glass ,-26.19,16,41,0
everyone was silent staring up at the great castle overhead ,-76.23,8,26,0
it towered over them as they sailed nearer and nearer to the cliff on which it stood ,-48.65,10,29,0
 heads down yelled hagrid as the first boats reached the cliff they all bent their heads and the little boats carried them through curtain of ivy that hid wide opening in the cliff face ,-57.34,19,55,0
they were carried along dark tunnel which seemed to be taking them right underneath the castle until they reached kind of underground harbor where they clambered out onto rocks and pebbles ,-72.31,21,64,0
 oy you there ,-6.69,2,5,0
is this your toad said hagrid who was checking the boats as people climbed out of them ,-40.19,10,28,0
 trevor cried neville blissfully holding out his hands ,-41.98,7,20,0
then they clambered up passageway in the rock after hagrid lamp coming out at last onto smooth damp grass right in the shadow of the castle ,-35.08,19,50,0
they walked up flight of stone steps and crowded around the huge oak front door ,-35.06,11,30,0
 everyone here ,-217.18,1,5,0
you there still got yer toad hagrid raised gigantic fist and knocked three times on the castle door ,-43.05,14,39,0
 the sorting hat the door swung open at once ,-18.2,5,13,0
a tall black haired witch in emerald green robes stood there ,-35.06,11,30,0
she had very stern face and harry first thought was that this was not someone to cross ,-14.81,10,25,0
 the firs years professor mcgonagall said hagrid ,-67.15,6,19,0
 thank you hagrid ,-6.69,2,5,0
i will take them from here she pulled the door wide ,-24.85,6,16,0
the entrance hall was so big you could have fit the whole of the dursleys house in it ,-31.73,10,27,0
the stone walls were lit with flaming torches like the ones at gringotts the ceiling was too high to make out and magnificent marble staircase facing them led to the upper floors ,-58.8,25,71,0
they followed professor mcgonagall across the flagged stone floor ,-76.23,8,26,0
harry could hear the drone of hundreds of voices from doorway to the right the rest of the school must already be here but professor mcgonagall showed the first years into small empty chamber off the hall ,-50.17,24,66,0
they crowded in standing rather closer together than they would usually have done peering about nervously ,-73.18,13,41,0
 welcome to hogwarts said professor mcgonagall ,-81.25,6,20,0
 the start of term banquet will begin shortly but before you take your seats in the great hall you will be sorted into your houses ,-34.13,13,35,0
the sorting is very important ceremony because while you are here your house will be something like your family within hogwarts ,-67.22,14,43,0
you will have classes with the rest of your house sleep in your house dormitory and spend free time in your house common room ,-67.22,14,43,0
 the four houses are called gryffindor hufflepuff ravenclaw and slytherin ,-76.23,8,26,0
each house has its own noble history and each has produced outstanding witches and wizards ,-74.03,10,32,0
while you are at hogwarts your triumphs will earn your house points while any rule breaking will lose house points ,-80.29,12,39,0
at the end of the year the house with the most points is awarded the house cup great honor ,-50.44,11,32,0
i hope each of you will be credit to whichever house becomes yours ,-95.35,6,21,0
 the sorting ceremony will take place in few minutes in front of the rest of the school ,-55.08,8,24,0
i suggest you all smarten yourselves up as much as you can while you are waiting her eyes lingered for moment on neville cloak which was fastened under his left ear and on ron smudged nose ,-61.6,22,64,0
harry nervously tried to flatten his hair ,-38.95,6,17,0
 shall return when we are ready for you said professor mcgonagall ,-67.15,6,19,0
 please wait quietly she left the chamber ,-68.96,5,16,0
harry swallowed ,-48.99,2,6,0
 how exactly do they sort us into houses he asked ron ,-24.85,6,16,0
 some sort of test think ,33.58,4,8,0
fred said it hurts lot but think he was joking harry heart gave horrible jolt ,-19.68,11,28,0
a test ,36.62,1,2,0
in front of the whole school ,-1.28,5,12,0
but he didn know any magic yet what on earth would he have to do ,-10.75,6,15,0
he hadn expected something like this the moment they arrived ,-55.08,8,24,0
he looked around anxiously and saw that everyone else looked terrified too ,-121.9,9,34,0
no one was talking much except hermione granger who was whispering very fast about all the spells she learned and wondering which one she need ,-62.19,15,45,0
harry tried hard not to listen to her ,-1.28,5,12,0
he never been more nervous never not even when he had to take school report home to the dursleys saying that he somehow turned his teachers wig blue ,-68.49,16,49,0
he kept his eyes fixed on the door ,-10.75,6,15,0
any second now professor mcgonagall would come back and lead him to his doom ,-56.1,9,27,0
